filename,start,dur,drumkit,drumkit_id,instrument_key,instrument,priority,auto,manual,power,active
Linn_LM1__38snare.wav,0,170,Linn LM-1,lm1,snare,s,1,0,0,8.38,1
Linn_LM1__40snare.wav,0,170,Linn LM-1,lm1,snare,s,999,0,0,7.09,0
Linn_LM1__38snare_sa.wav,0,170,Linn LM-1,lm1,snare,sa,1,1,0,16.22,1
Linn_LM1__38snare_sb.wav,0,270,Linn LM-1,lm1,snare,sb,1,1,0,4.45,1
Linn_LM1__38snare_sg.wav,0,170,Linn LM-1,lm1,snare,sg,1,1,0,3.11,1
Linn_LM1__41tom.wav,0,341,Linn LM-1,lm1,tom,t,999,0,0,10.29,1
Linn_LM1__41tom_ta.wav,0,341,Linn LM-1,lm1,tom,ta,999,1,0,16.73,1
Linn_LM1__41tom_tb.wav,0,441,Linn LM-1,lm1,tom,tb,999,1,0,7.3,1
Linn_LM1__45tom.wav,0,341,Linn LM-1,lm1,tom,tt,999,0,0,9.28,1
Linn_LM1__48tom.wav,0,341,Linn LM-1,lm1,tom,ttt,999,0,0,8.63,1
Linn_LM1__48tom_ttta.wav,0,341,Linn LM-1,lm1,tom,ttta,999,1,0,16.5,1
Linn_LM1__51ride.wav,0,1365,Linn LM-1,lm1,ride,y,999,0,0,4.4,1
Linn_LM1__51ride_ya.wav,0,1365,Linn LM-1,lm1,ride,ya,999,1,0,10.37,1
Linn_LM1__51ride_yg.wav,0,1365,Linn LM-1,lm1,ride,yg,999,1,0,2.75,1
Linn_LM1__70maracas.wav,0,170,Linn LM-1,lm1,maracas,,999,0,0,2.85,0
Linn_LM1__73_clap.wav,0,85,Linn LM-1,lm1,clap,,999,0,0,10.33,0
Linn_LM1__60bongo.wav,0,341,Linn LM-1,lm1,bongo,,999,0,0,5.08,0
Linn_LM1__69shake.wav,0,85,Linn LM-1,lm1,shake,,999,0,0,4.29,0
Linn_LM1__74_snap.wav,0,341,Linn LM-1,lm1,snap,,999,0,0,2.71,0
Linn_LM1__56cowbell.wav,0,170,Linn LM-1,lm1,cowbell,,999,0,0,7.73,0
Linn_LM1__39clap.wav,0,170,Linn LM-1,lm1,clap,,999,0,0,7.46,0
Linn_LM1__54tamborine.wav,0,170,Linn LM-1,lm1,tamborine,,999,0,0,6,0
Linn_Linndrum__57crash_cymbal.wav,0,1225,LinnDrum,ld,crash_cymbal,c,999,0,0,6.58,1
Linn_Linndrum__57crash_cymbal_cg.wav,0,1225,LinnDrum,ld,crash_cymbal,cg,999,1,0,2.81,1
Linn_Linndrum__44hat_pedal.wav,0,101,LinnDrum,ld,hat_pedal,h,999,0,0,5.96,1
Linn_Linndrum__44hat_pedal_ha.wav,0,101,LinnDrum,ld,hat_pedal,ha,999,1,0,12.69,1
Linn_Linndrum__42hat_closed.wav,0,51,LinnDrum,ld,hat_closed,hc,999,0,0,5.82,1
Linn_Linndrum__44hat_pedal_hg.wav,0,101,LinnDrum,ld,hat_pedal,hg,999,1,0,2.6,1
Linn_Linndrum__46hat_open.wav,0,606,LinnDrum,ld,hat_open,ho,999,0,0,5.39,1
Linn_Linndrum__35kick.wav,0,91,LinnDrum,ld,kick,k,1,0,0,12.34,1
Linn_Linndrum__36kick.wav,0,91,LinnDrum,ld,kick,k,999,0,0,11.99,0
Linn_Linndrum__35kick_ka.wav,0,91,LinnDrum,ld,kick,ka,1,1,0,15.83,1
Linn_Linndrum__35kick_kg.wav,0,91,LinnDrum,ld,kick,kg,1,1,0,2.52,1
Linn_Linndrum__37rim.wav,0,86,LinnDrum,ld,rim,r,999,0,0,7.76,1
Linn_Linndrum__37rim_ra.wav,0,86,LinnDrum,ld,rim,ra,999,1,0,16.32,1
Linn_Linndrum__37rim_rg.wav,0,86,LinnDrum,ld,rim,rg,999,1,0,3.19,1
Linn_Linndrum__38snare.wav,0,86,LinnDrum,ld,snare,s,1,0,0,9.69,1
Linn_Linndrum__40snare.wav,0,132,LinnDrum,ld,snare,s,999,0,0,10.57,0
Linn_Linndrum__49_snare-alt.wav,0,136,LinnDrum,ld,snare-alt,s,999,0,0,8.09,0
Linn_Linndrum__48_snare-alt.wav,0,138,LinnDrum,ld,snare-alt,s,999,0,0,7.29,0
Linn_Linndrum__53_snare-alt.wav,0,152,LinnDrum,ld,snare-alt,s,999,0,0,8.23,0
Linn_Linndrum__45_snare-alt.wav,0,137,LinnDrum,ld,snare-alt,s,999,0,0,5.58,0
Linn_Linndrum__43_snare-alt.wav,0,164,LinnDrum,ld,snare-alt,s,999,0,0,7.35,0
Linn_Linndrum__50_snare-alt.wav,0,126,LinnDrum,ld,snare-alt,s,999,0,0,9.22,0
Linn_Linndrum__52_snare-alt.wav,0,157,LinnDrum,ld,snare-alt,s,999,0,0,6.72,0
Linn_Linndrum__38snare_sa.wav,0,86,LinnDrum,ld,snare,sa,1,1,0,16.98,1
Linn_Linndrum__38snare_sb.wav,0,186,LinnDrum,ld,snare,sb,1,1,0,3.86,1
Linn_Linndrum__38snare_sg.wav,0,86,LinnDrum,ld,snare,sg,1,1,0,3.17,1
Linn_Linndrum__47tom_high.wav,0,390,LinnDrum,ld,tom_high,t,999,0,0,9.44,1
Linn_Linndrum__47tom_high_ta.wav,0,390,LinnDrum,ld,tom_high,ta,999,1,0,17.22,1
Linn_Linndrum__47tom_high_tb.wav,0,490,LinnDrum,ld,tom_high,tb,999,1,0,6.7,1
Linn_Linndrum__41tom_floor.wav,0,348,LinnDrum,ld,tom_floor,ttt,999,0,0,8.84,1
Linn_Linndrum__41tom_floor_ttta.wav,0,348,LinnDrum,ld,tom_floor,ttta,999,1,0,16.92,1
Linn_Linndrum__51ride.wav,0,1251,LinnDrum,ld,ride,y,999,0,0,4.38,1
Linn_Linndrum__51ride_ya.wav,0,1251,LinnDrum,ld,ride,ya,999,1,0,10.56,1
Linn_Linndrum__51ride_yg.wav,0,1251,LinnDrum,ld,ride,yg,999,1,0,2.72,1
Linn_Linndrum__58vibraslap.wav,0,163,LinnDrum,ld,vibraslap,,999,0,0,2.39,0
Linn_Linndrum__39clap.wav,0,137,LinnDrum,ld,clap,,999,0,0,8.67,0
Linn_Linndrum__69casaba.wav,0,84,LinnDrum,ld,casaba,,999,0,0,5.77,0
Linn_Linndrum__54tamborine.wav,0,158,LinnDrum,ld,tamborine,,999,0,0,4.23,0
Linn_Linndrum__56cowbell.wav,0,81,LinnDrum,ld,cowbell,,999,0,0,11.5,0
Oberheim_Dmx__49crash_cymbal.wav,0,952,Oberheim DMX,dmx,crash_cymbal,c,999,0,0,5.33,1
Oberheim_Dmx__49crash_cymbal_cg.wav,0,952,Oberheim DMX,dmx,crash_cymbal,cg,999,1,0,2.8,1
Oberheim_Dmx__46hat_open_modifed_h.wav,0,312,Oberheim DMX,dmx,hat,h,999,0,1,4.39,1
Oberheim_Dmx__46hat_open_modifed_h_ha.wav,0,241,Oberheim DMX,dmx,hat,ha,999,1,1,10.37,1
Oberheim_Dmx__42hat_closed.wav,0,168,Oberheim DMX,dmx,hat_closed,hc,999,0,0,4.26,1
Oberheim_Dmx__46hat_open_modifed_h_hg.wav,0,241,Oberheim DMX,dmx,hat,hg,999,1,1,2.66,1
Oberheim_Dmx__46hat_open.wav,0,202,Oberheim DMX,dmx,hat_open,ho,1,0,0,7.36,1
Oberheim_Dmx__77_hat_open_double.wav,0,174,Oberheim DMX,dmx,hat_open_double,ho,999,0,0,4.83,0
Oberheim_Dmx__76_hat_openAlt.wav,0,174,Oberheim DMX,dmx,hat_openAlt,ho,999,0,0,4.66,0
Oberheim_Dmx__35kick.wav,0,141,Oberheim DMX,dmx,kick,k,1,0,0,9.33,1
Oberheim_Dmx__61_kick_alt.wav,0,112,Oberheim DMX,dmx,kick_alt,k,999,0,0,12.86,0
Oberheim_Dmx__36kick.wav,0,200,Oberheim DMX,dmx,kick,k,999,0,0,7.72,0
Oberheim_Dmx__35kick_ka.wav,0,141,Oberheim DMX,dmx,kick,ka,1,1,0,15.96,1
Oberheim_Dmx__35kick_kg.wav,0,141,Oberheim DMX,dmx,kick,kg,1,1,0,3.03,1
Oberheim_Dmx__37rim.wav,0,107,Oberheim DMX,dmx,rim,r,1,0,0,4.97,1
Oberheim_Dmx__75_rim2.wav,0,83,Oberheim DMX,dmx,rim2,r,999,0,0,6.2,0
Oberheim_Dmx__37rim_ra.wav,0,107,Oberheim DMX,dmx,rim,ra,1,1,0,10.66,1
Oberheim_Dmx__37rim_rg.wav,0,107,Oberheim DMX,dmx,rim,rg,1,1,0,3.31,1
Oberheim_Dmx__38snare.wav,0,150,Oberheim DMX,dmx,snare,s,1,0,0,7.42,1
Oberheim_Dmx__40snare.wav,0,124,Oberheim DMX,dmx,snare,s,999,0,0,9.24,0
Oberheim_Dmx__62_snare_alt.wav,0,140,Oberheim DMX,dmx,snare_alt,s,999,0,0,10.11,0
Oberheim_Dmx__38snare_sa.wav,0,150,Oberheim DMX,dmx,snare,sa,1,1,0,14.9,1
Oberheim_Dmx__38snare_sb.wav,0,250,Oberheim DMX,dmx,snare,sb,1,1,0,3.93,1
Oberheim_Dmx__38snare_sg.wav,0,150,Oberheim DMX,dmx,snare,sg,1,1,0,3.19,1
Oberheim_Dmx__47tom_high.wav,0,448,Oberheim DMX,dmx,tom_high,t,999,0,0,7.97,1
Oberheim_Dmx__47tom_high_ta.wav,0,448,Oberheim DMX,dmx,tom_high,ta,999,1,0,17.1,1
Oberheim_Dmx__47tom_high_tb.wav,0,548,Oberheim DMX,dmx,tom_high,tb,999,1,0,5.99,1
Oberheim_Dmx__45tom_low.wav,0,442,Oberheim DMX,dmx,tom_low,tt,999,0,0,7.65,1
Oberheim_Dmx__41tom_floor.wav,0,710,Oberheim DMX,dmx,tom_floor,ttt,1,0,0,10.9,1
Oberheim_Dmx__43tom_lowest.wav,0,453,Oberheim DMX,dmx,tom_lowest,ttt,999,0,0,8.47,0
Oberheim_Dmx__41tom_floor_ttta.wav,0,710,Oberheim DMX,dmx,tom_floor,ttta,1,1,0,16.86,1
Oberheim_Dmx__51ride.wav,0,594,Oberheim DMX,dmx,ride,y,1,0,0,3.98,1
Oberheim_Dmx__59_cymbal_mute.wav,0,185,Oberheim DMX,dmx,cymbal_mute,y,999,0,0,6.85,0
Oberheim_Dmx__51ride_ya.wav,0,594,Oberheim DMX,dmx,ride,ya,1,1,0,9.57,1
Oberheim_Dmx__51ride_yg.wav,0,594,Oberheim DMX,dmx,ride,yg,1,1,0,3.03,1
Oberheim_Dmx__73_cabasa2.wav,0,134,Oberheim DMX,dmx,cabasa2,,999,0,0,6.76,0
Oberheim_Dmx__55splash.wav,0,1387,Oberheim DMX,dmx,splash,,999,0,0,6.49,0
Oberheim_Dmx__54tambourine.wav,0,93,Oberheim DMX,dmx,tambourine,,999,0,0,5.32,0
Oberheim_Dmx__69cabasa.wav,0,106,Oberheim DMX,dmx,cabasa,,999,0,0,5.31,0
Oberheim_Dmx__81_tamborineAlt.wav,0,127,Oberheim DMX,dmx,tamborineAlt,,999,0,0,5.88,0
Oberheim_Dmx__66timbale_low.wav,0,218,Oberheim DMX,dmx,timbale_low,,999,0,0,8.28,0
Oberheim_Dmx__65timbale_high.wav,0,308,Oberheim DMX,dmx,timbale_high,,999,0,0,6.66,0
Oberheim_Dmx__70maraca.wav,0,132,Oberheim DMX,dmx,maraca,,999,0,0,11.62,0
Oberheim_Dmx__39clap.wav,0,136,Oberheim DMX,dmx,clap,,999,0,0,8.82,0
Roland_CR79__52crash.wav,0,354,Roland CR-78,cr78,crash,c,1,0,0,9.42,1
Roland_CR79__49crash.wav,0,342,Roland CR-78,cr78,crash,c,2,0,0,4.72,0
Roland_CR79__57crash.wav,0,26,Roland CR-78,cr78,crash,c,999,0,0,12.98,0
Roland_CR79__52crash_cg.wav,0,354,Roland CR-78,cr78,crash,cg,1,1,0,2.92,1
Roland_CR79__46hat_open_modified_h.wav,0,264,Roland CR-78,cr78,hat,h,999,0,1,3.97,1
Roland_CR79__46hat_open_modified_h_ha.wav,0,192,Roland CR-78,cr78,hat,ha,999,1,1,9.47,1
Roland_CR79__42hat_closed.wav,0,58,Roland CR-78,cr78,hat_closed,hc,999,0,0,2.36,1
Roland_CR79__46hat_open_modified_h_hg.wav,0,192,Roland CR-78,cr78,hat,hg,999,1,1,2.96,1
Roland_CR79__46hat_open.wav,0,193,Roland CR-78,cr78,hat_open,ho,999,0,0,4.77,1
Roland_CR79__36kick.wav,0,112,Roland CR-78,cr78,kick,k,1,0,0,17.55,1
Roland_CR79__55_kick_low.wav,0,128,Roland CR-78,cr78,kick_low,k,2,0,0,16.74,0
Roland_CR79__79_bassdrop.wav,0,128,Roland CR-78,cr78,bassdrop,k,3,0,0,16.74,0
Roland_CR79__35kickpump.wav,0,744,Roland CR-78,cr78,kickpump,k,999,0,0,10.47,0
Roland_CR79__36kick_ka.wav,0,112,Roland CR-78,cr78,kick,ka,1,1,0,18.49,1
Roland_CR79__36kick_kg.wav,0,112,Roland CR-78,cr78,kick,kg,1,1,0,3.19,1
Roland_CR79__37rimshot.wav,0,7,Roland CR-78,cr78,rimshot,r,999,0,0,11.2,1
Roland_CR79__37rimshot_ra.wav,0,7,Roland CR-78,cr78,rimshot,ra,999,1,0,12.34,1
Roland_CR79__37rimshot_rg.wav,0,7,Roland CR-78,cr78,rimshot,rg,999,1,0,2.27,1
Roland_CR79__39_snare.wav,0,69,Roland CR-78,cr78,snare,s,1,0,0,13.39,1
Roland_CR79__38snare.wav,0,744,Roland CR-78,cr78,snare,s,2,0,0,2.37,0
Roland_CR79__40snaresnare.wav,0,335,Roland CR-78,cr78,snaresnare,s,999,0,0,5.48,0
Roland_CR79__39_snare_sa.wav,0,69,Roland CR-78,cr78,snare,sa,1,1,0,14.55,1
Roland_CR79__39_snare_sb.wav,0,169,Roland CR-78,cr78,snare,sb,1,1,0,4.7,1
Roland_CR79__39_snare_sg.wav,0,69,Roland CR-78,cr78,snare,sg,1,1,0,2.47,1
Roland_CR79__50tom_hi.wav,0,744,Roland CR-78,cr78,tom_hi,t,1,0,0,4.53,1
Roland_CR79__47tom_mid.wav,0,163,Roland CR-78,cr78,tom_mid,t,999,0,0,15.33,0
Roland_CR79__50tom_hi_ta.wav,0,744,Roland CR-78,cr78,tom_hi,ta,1,1,0,8.35,1
Roland_CR79__50tom_hi_tb.wav,0,844,Roland CR-78,cr78,tom_hi,tb,1,1,0,4.83,1
Roland_CR79__45tom_mid.wav,0,744,Roland CR-78,cr78,tom_mid,tt,999,0,0,3.53,1
Roland_CR79__43tom_low.wav,0,744,Roland CR-78,cr78,tom_low,ttt,999,0,0,5.32,1
Roland_CR79__43tom_low_ttta.wav,0,744,Roland CR-78,cr78,tom_low,ttta,999,1,0,8.25,1
Roland_CR79__51ride.wav,0,408,Roland CR-78,cr78,ride,y,999,0,0,2.89,1
Roland_CR79__51ride_ya.wav,0,408,Roland CR-78,cr78,ride,ya,999,1,0,7.2,1
Roland_CR79__51ride_yg.wav,0,408,Roland CR-78,cr78,ride,yg,999,1,0,2.89,1
Roland_CR79__54tamborine.wav,0,1305,Roland CR-78,cr78,tamborine,yl,999,0,0,4.04,1
Roland_CR79__67agogo_hi.wav,0,23,Roland CR-78,cr78,agogo_hi,,999,0,0,13.97,0
Roland_CR79__75clave.wav,0,53,Roland CR-78,cr78,clave,,999,0,0,3.97,0
Roland_CR79__76woodblock.wav,0,8,Roland CR-78,cr78,woodblock,,999,0,0,10.8,0
Roland_CR79__44_blop.wav,0,61,Roland CR-78,cr78,blop,,999,0,0,5.41,0
Roland_CR79__60bongo_hi.wav,0,177,Roland CR-78,cr78,bongo_hi,,999,0,0,15.95,0
Roland_CR79__68agogo_lo.wav,0,26,Roland CR-78,cr78,agogo_lo,,999,0,0,14.07,0
Roland_CR79__74guiro_long.wav,0,1670,Roland CR-78,cr78,guiro_long,,999,0,0,4.41,0
Roland_CR79__62conga_high_mute.wav,0,992,Roland CR-78,cr78,conga_high_mute,,999,0,0,1.7,0
Roland_CR79__56cowbell.wav,0,132,Roland CR-78,cr78,cowbell,,999,0,0,11.32,0
Roland_CR79__64conga_low.wav,0,992,Roland CR-78,cr78,conga_low,,999,0,0,1.54,0
