id,category,itemId,filename,start,dur,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,nstretch,stretch,nvol,nclip,nswing,buzz,active
C7,alt,00694032_41_00-01-47,00694032.wav,107648,325,,,,,1,,,,,,,,,,1,,,,,,,,1
C7,alt,00694032_42_00-01-47,00694032.wav,107973,186,,,1,,,,,,1,,,,,,,,,,,,,,1
C7,alt,00694032_43_00-01-48,00694032.wav,108159,139,,,,,,,1,,,,,,1,,,,,,,,,,1
C8,alt,00694032_41_00-01-47,00694032.wav,107648,325,1,,,,,,,,,,1,,,,,,,,,,,,1
C8,alt,00694032_42_00-01-47,00694032.wav,107973,186,,,,,1,,,,,,,,,,1,,,,,,,,1
C8,alt,00694032_43_00-01-48,00694032.wav,108159,139,,,1,,,,,,1,,,,,,,,,,,,,,1
C8,alt,00694032_44_00-01-48,00694032.wav,108298,162,,,,,,,1,,,,,,1,,,,,,,,,,1
C9,alt,00694032_42_00-01-47,00694032.wav,107973,186,1,,,,,,,,,,1,,,,,,,,,,,,1
C9,alt,00694032_43_00-01-48,00694032.wav,108159,139,,,,,1,,,,,,,,,,1,,,,,,,,1
C9,alt,00694032_44_00-01-48,00694032.wav,108298,162,,,1,,,,,,1,,,,,,,,,,,,,,1
C9,alt,00694032_45_00-01-48,00694032.wav,108460,325,,,,,,,1,,,,,,1,,,,,,,,,,1
C10,alt,00694032_43_00-01-48,00694032.wav,108159,139,1,,,,,,,,,,1,,,,,,,,,,,,1
C10,alt,00694032_44_00-01-48,00694032.wav,108298,162,,,,,1,,,,,,,,,,1,,,,,,,,1
C10,alt,00694032_45_00-01-48,00694032.wav,108460,325,,,1,,,,,,1,,,,,,,,,,,,,,1
C10,alt,00694032_46_00-01-48,00694032.wav,108785,186,,,,,,,1,,,,,,1,,,,,,,,,,1
C11,alt,00694032_45_00-01-48,00694032.wav,108460,325,1,,,,,,,,,,1,,,,,,,,,,,,1
C11,alt,00694032_46_00-01-48,00694032.wav,108785,186,,,,,1,,,,,,,,,,1,,,,,,,,1
C11,alt,00694032_47_00-01-48,00694032.wav,108971,186,,,1,,,,,,1,,,,,,,,,,,,,,1
C11,alt,00694032_48_00-01-49,00694032.wav,109157,163,,,,,,,1,,,,,,1,,,,,,,,,,1
