date,description,identifier,item_size,publicdate,subject,title,collection,licenseurl,filename,hh0,mm0,ss0,hh1,mm1,ss1,start,end
2013-01-01T00:00:00Z,"Lara waits for the show to start and passes time by chatting to other circus artists. This is part of a 24-hour recording of a day in the life of Lara Aragon. This video was produced by Mara Pérez, Chino Saavedra, Pablo Barrientos, Paromita Dhar, and Carlos Rodr�_guez. This video is part of the Global Lives Project, a video library of life experience. For more information please visit globallives.org .",globallivesproject_Lara_Aragon_2013_spa_Magaluf_ES-PM-194500-201459,17471809453,2013-11-13T18:12:15Z,"Magaluf,Spain,circus,backstage,globallivesproject,Global Lives Project,glp,globallives","Lara Aragon - Magaluf, Spain - Spanish (Global Lives Project, 2013) ~19:45:00-20:14:59",laraaragon,http://creativecommons.org/licenses/by/3.0/,globallivesproject_Lara_Aragon_2013_spa_Magaluf_ES-PM_194500-201459.mp4,19,45,0,20,14,59,71100,72899
2009-01-01T00:00:00Z,"This is part of a 24-hour recording of a day in the life of Zhanna Dosmailova, a child from Vannovka, Kazakhstan. She was 5 years old at the time of the shoot. Zhanna Dosmailova has grown up in an orphanage, though she is not an orphan herself. Her mother is the orphanage's director, and her father is its driver and maintenance manager. They live in Vannovka, Southern Kazakhstan, near the Tien Shan mountains. Five-year-old Zhanna and her two older brothers often play Wii and other games with the orphans, many of whom are Russian. She begins school in 2010. This video was produced by Simone Goldsmith, Nobuhiro Awata, Ruchika Muchala, Marco Lüthy, Asel Orumbayeva, and Lindee Hoshikawa. This video is part of the Global Lives Project, a video library of life experience. For more information see globallives.org.",globallivesproject_Zhanna_Dosmailova_2009_kaz_Vannovka_KZ-YUZ_000000-001500_life_story_part_1,3151558834,2012-07-19T22:52:07Z,"Vannovka,Southern Kazakhstan,Kazakhstan,globallivesproject,Global Lives Project,glp,globallives","Zhanna Dosmailova - Vannovka, Southern Kazakhstan, Kazakhstan - Kazakh (Global Lives Project, 2009) ~00:00:00 - 00:15:00 - Life Story Parent Interview Part 1",zhannadosmailova,http://creativecommons.org/licenses/by-nc-sa/3.0/,globallivesproject_Zhanna_Dosmailova_2009_kaz_Vannovka_KZ-YUZ~000000-001500_life_story_part_1.mp4,0,0,0,0,15,0,0,900
2007-01-01T00:00:00Z,"This is part of a 24-hour recording of a day in the life of Edith Kaphuka, a student from Ngwale Village, Zomba District, Malawi. She was 13 years old at the time of the shoot. Edith Kaphuka was a 13-year-old student at Domasi Mission Primary School in Zomba District, Malawi during her Global Lives Project shoot in 2007. The oldest of four girls, Edith has many responsibilities at her home in Ngwale Village, such as fetching water, cleaning the dishes, and gardening. Her little sister, Memory, is her best friend; when the two are together, they are nearly inseparable. While Edith and her family are Yao, they more readily speak Chichewa, Malawi's national language. This video was produced by Jason Price, Ya-Hsuan Huang, Elasto Chanza, Jessie Levandov, Harrson Topp, Single Limodze, Blackwell Lungu, Z. Allan Ntata, Villant Ndasowa, Jos Garric, Arnold Mboga, Tom Likambale, Catherine Makhumula, Jessie Kabwila Kapasula, Allan Z. Nkata, and Dr. Sam Mchombo. This video is part of the Global Lives Project, a video library of life experience. For more information see globallives.org.",globallivesproject_Edith_Kaphuka_2007_nya_Ngwale_Village_MW-ZO_120105-121606,2572529256,2012-07-19T22:05:24Z,"Ngwale Village,Malawi,student,globallivesproject,Global Lives Project,glp,globallives","Edith Kaphuka - Ngwale Village, Zomba, Malawi - Nyanja (Global Lives Project, 2007) ~12:01:05 - 12:16:06",edithkaphuka,http://creativecommons.org/licenses/by-nc-sa/3.0/,globallivesproject_Edith_Kaphuka_2007_nya_Ngwale_Village_MW-ZO~120105-121606.mp4,12,1,5,12,16,6,43265,44166
2009-01-01T00:00:00Z,"In this clip, Jamila plays with friends outside. This is part of a 24-hour recording of a day in the life of Jamila Jad, an elementary school student from Beirut, Lebanon. She was 9 years old at the time of the shoot. Born from a Lebanese mother and a Palestinian father, Jamila Jad inherited the nationality of her father. She is one of 400,000 officially registered Palestinian refugees in Lebanon. Jamila was born and raised in Shatila refugee camp in Beirut, where she attends public school and dreams of becoming a doctor. The oldest of four children, Jamila shoulders many responsibilities at home. Her father has been fighting Hepatitis C, and her mother works a cleaning job to keep the family afloat. This video was produced by Ron Carr, Irene Herrera, Lindee Hoshikawa, Chahid Akhoury, Lucie Kroening, Kassem Aina, Simone Goldsmith, and Zohour Akkawi. This video is part of the Global Lives Project, a video library of life experience. For more information see globallives.org.",globallivesproject_Jamila_Jad_2009_ara_Beirut_LB-BA_181119-182619,3153802864,2012-07-19T04:19:54Z,"Beirut,Lebanon,school,islam,globallivesproject,Global Lives Project,glp,globallives","Jamila Jad - Beirut, Beirut, Lebanon - Arabic (Global Lives Project, 2009) ~18:11:19 - 18:26:19",jamilajad,http://creativecommons.org/licenses/by-nc-sa/3.0/,globallivesproject_Jamila_Jad_2009_ara_Beirut_LB-BA~181119-182619.mp4,18,11,19,18,26,19,65479,66379
2013-01-01T00:00:00Z,"Lara spends time with the other artists before the show starts. She enters the ring and performs the first songs of the show. This is part of a 24-hour recording of a day in the life of Lara Aragon. This video was produced by Mara Pérez, Chino Saavedra, Pablo Barrientos, Paromita Dhar, and Carlos Rodr�_guez. This video is part of the Global Lives Project, a video library of life experience. For more information please visit globallives.org .",globallivesproject_Lara_Aragon_2013_spa_Magaluf_ES-PM-201500-204459,15225987559,2013-10-25T23:49:47Z,"Magaluf,Spain,circus,show,clowns,songs,audience,backstage,globallivesproject,Global Lives Project,glp,globallives","Lara Aragon - Magaluf, Spain - Spanish (Global Lives Project, 2013) ~20:15:00-20:44:59",laraaragon,http://creativecommons.org/licenses/by/3.0/,globallivesproject_Lara_Aragon_2013_spa_Magaluf_ES-PM_201500-204459.mp4,20,15,0,20,44,59,72900,74699
2013-01-01T00:00:00Z,"Mingmar meets a lady while walking back to the base camp. When he arrives, he boils water and cleans the catepillar fungus that he found. A buyer arrives and they negotiate a deal. This is part of a 24-hour recording of a day in the life of Mingmar Lama. This video was produced by Rinzin Lama, Andrew Mahlstedt, Dawa Yakpa, Yog Shakya, Tenzin Norbu, Ravi Shrestha, Karma Ghale, Santa Bahadur Tamang, Arjun Magar, Tenzin Norbu, Thepe Tamang, Maila Tamang, Santosh, Jit Bahadur Gurung, and Kancha Tamang. This video is part of the Global Lives Project, a video library of life experience. For more information please visit globallives.org .",globallivesproject_Mingmar_Lama_2013_nep_Tsum_Valley_NP-GA-160000-162959,4844599422,2013-10-30T17:45:00Z,"Gorkha,Tsum Valley,Nepali,Tibetan,Tsum,hike,yartsa gumbu,business deal,khampa,negotiate,tea,clean yartsa,globallivesproject,Global Lives Project,glp,globallives","Mingmar Lama - Tsum Valley, Nepal - Nepali (Global Lives Project, 2013) 16:00:00 - 16:29:59",mingmarlama,http://creativecommons.org/licenses/by/3.0/,globallivesproject_Mingmar_Lama_2013_nep_Tsum_Valley_NP-GA-160000-162959.mp4,16,0,0,16,29,59,57600,59399
2013-01-01T00:00:00Z,"Mingmar looks for catepillar fungus in the mountains. He finds more fungus and takes a lunch break with other harvesters. This is part of a 24-hour recording of a day in the life of Mingmar Lama. This video was produced by Rinzin Lama, Andrew Mahlstedt, Dawa Yakpa, Yog Shakya, Tenzin Norbu, Ravi Shrestha, Karma Ghale, Santa Bahadur Tamang, Arjun Magar, Tenzin Norbu, Thepe Tamang, Maila Tamang, Santosh, Jit Bahadur Gurung, and Kancha Tamang. This video is part of the Global Lives Project, a video library of life experience. For more information please visit globallives.org .",globallivesproject_Mingmar_Lama_2013_nep_Tsum_Valley_NP-GA-133000-135959,4907042055,2013-10-30T20:00:45Z,"Gorkha,Tsum Valley,Nepali,Tibetan,Tsum,hike,up the hill,yartsa gumbu,mountain,Snowline,highland,lunch break,snowfall,globallivesproject,Global Lives Project,glp,globallives","Mingmar Lama - Tsum Valley, Nepal - Nepali (Global Lives Project, 2013) 13:30:00 - 13:59:59",mingmarlama,http://creativecommons.org/licenses/by/3.0/,globallivesproject_Mingmar_Lama_2013_nep_Tsum_Valley_NP-GA-133000-135959.mp4,13,30,0,13,59,59,48600,50399
2013-01-01T00:00:00Z,"Seunghwan checks his phone, stretches and goes back to sleep. This is part of a 24-hour recording of a day in the life of Seunghwan Seo. This video was produced by Sam Queen, Rachel Gist, Jee Young Lee, Michael Stulberg, Marisol Park, Nayoung Jung, Joel Elliott, and Cole Quinlan. This video is part of the Global Lives Project, a video library of life experience. For more information please visit globallives.org .",globallivesproject_Seunghwan_Seo_2013_kor_Seoul_KR-11-140000-142959,26069423955,2013-11-04T16:27:22Z,"Korea,Seoul,Gangnam,Yangjae,apartment,bed,family,sleep,globallivesproject,Global Lives Project,glp,globallives","Seunghwan Seo - Seoul, Korea - Korean (Global Lives Project, 2013) 14:00:00 - 14:29:59",seunghwanseo,http://creativecommons.org/licenses/by/3.0/,globallivesproject_Seunghwan_Seo_2013_kor_Seoul_KR-11-140000-142959.mp4,14,0,0,14,29,59,50400,52199
2006-01-01T00:00:00Z,"In this clip, Rael is at a dance competition for children. This is part of a 24-hour recording of a day in the life of Rael Feliciano, a hip-hop singer and city permit inspector. He was 23 years old at the time of the shoot. Better known as Rael, Israel Feliciano was born and raised in Sao Paulo, Brazil. At the time of his GLP shoot in 2006, he was an emerging hip-hop artist who paid the bills working as a city permit inspector. Rael has been a performer since childhood, when he and his brother would break dance in the city center and at school competitions. He is heavily influenced by his musician father, despite the fact that his father prefers the more traditional Forro and Sertaneja music to hip-hop. This video was produced by Maria Laura Vilela Cesar, Ana Leonardo Nassar, Helio Ishii, Jessica Sklair, Jose Santos, Eduardo B. Pinto, Marcelo Vitali, Erick Mammoccio, Pedro Gomes, Fabiano Pierri, Jarbas Viana, Gabriela Herman, Anita Goes, Daniel Malva, Alder Augusto, David Evan Harris, Jeovany Pinto Almeida, Manuel Palavras, Paulo Sergio de Paula, Fernando Bastos, and Camila Ogawa. This video is part of the Global Lives Project, a video library of life experience. For more information see globallives.org.",globallivesproject_Rael_Feliciano_2006_por_Sao_Paulo_BR-SP_173655-174859,2531427669,2012-07-19T22:23:32Z,"Sao Paulo,Brazil,rap,hip-hop,globallivesproject,Global Lives Project,glp,globallives","Rael Feliciano - Sao Paulo, Sao Paulo, Brazil - Portuguese (Global Lives Project, 2006) ~17:36:55 - 17:48:59",raelfeliciano,http://creativecommons.org/licenses/by/3.0/,globallivesproject_Rael_Feliciano_2006_por_Sao_Paulo_BR-SP~173655-174859.mp4,17,36,55,17,48,59,63415,64139
2009-01-01T00:00:00Z,"This is part of a 24-hour recording of a day in the life of Dusan Lazic, a beekeeper and retired engineer from Vojka, Serbia. He was 57 years old at the time of the shoot. Dusan Lazic turned to beekeeping in 2004 after having difficulty finding work as an engineer. He lives in Vojka, Serbia. Born in 1942, he has experienced firsthand many of the tumultuous events that have shaped modern East European history, including the rise and fall of communism, the Yugoslav wars, and Serbian independence. In the evenings, Dusan sings and plays percussion with his friends in a pop-rock cover band called Time Machine. This video was produced by Robert Eagle, Marko Popovic, Juliane Bittencourt, Stefan Ivanovic, David Szepesi, Dragan Petrovic, Hes Mundt, Srdjan Srdjanov, Zeljko Drazovic, Ana Lakčevic, Stewart Weir, Emile Holba, and Max Kesberger. This video is part of the Global Lives Project, a video library of life experience. For more information see globallives.org.",globallivesproject_Dusan_Lazic_2009_srp_Vojka_RS-14_152031-154434,4666629751,2012-07-19T20:28:46Z,"Vojka,Srem District,Serbia,beekeeping,globallivesproject,Global Lives Project,glp,globallives","Dusan Lazic - Vojka, Srem District, Serbia - Serbian (Global Lives Project, 2009) ~15:20:31 - 15:44:34",dusanlazic,http://creativecommons.org/licenses/by-nc-sa/3.0/,globallivesproject_Dusan_Lazic_2009_srp_Vojka_RS-14~152031-154434.mp4,15,20,31,15,44,34,55231,56674
2009-01-01T00:00:00Z,"In this clip, Jamila is at home. This is part of a 24-hour recording of a day in the life of Jamila Jad, an elementary school student from Beirut, Lebanon. She was 9 years old at the time of the shoot. Born from a Lebanese mother and a Palestinian father, Jamila Jad inherited the nationality of her father. She is one of 400,000 officially registered Palestinian refugees in Lebanon. Jamila was born and raised in Shatila refugee camp in Beirut, where she attends public school and dreams of becoming a doctor. The oldest of four children, Jamila shoulders many responsibilities at home. Her father has been fighting Hepatitis C, and her mother works a cleaning job to keep the family afloat. This video was produced by Ron Carr, Irene Herrera, Lindee Hoshikawa, Chahid Akhoury, Lucie Kroening, Kassem Aina, Simone Goldsmith, and Zohour Akkawi. This video is part of the Global Lives Project, a video library of life experience. For more information see globallives.org.",globallivesproject_Jamila_Jad_2009_ara_Beirut_LB-BA_194229-195759,3257630019,2012-07-19T22:06:53Z,"Beirut,Lebanon,school,islam,globallivesproject,Global Lives Project,glp,globallives","Jamila Jad - Beirut, Beirut, Lebanon - Arabic (Global Lives Project, 2009) ~19:42:29 - 19:57:59",jamilajad,http://creativecommons.org/licenses/by-nc-sa/3.0/,globallivesproject_Jamila_Jad_2009_ara_Beirut_LB-BA~194229-195759.mp4,19,42,29,19,57,59,70949,71879
2013-01-01T00:00:00Z,"Mingmar makes a deal with the buyer for the catepillar fungus. He prepares salt tea and cuts wood. This is part of a 24-hour recording of a day in the life of Mingmar Lama. This video was produced by Rinzin Lama, Andrew Mahlstedt, Dawa Yakpa, Yog Shakya, Tenzin Norbu, Ravi Shrestha, Karma Ghale, Santa Bahadur Tamang, Arjun Magar, Tenzin Norbu, Thepe Tamang, Maila Tamang, Santosh, Jit Bahadur Gurung, and Kancha Tamang. This video is part of the Global Lives Project, a video library of life experience. For more information please visit globallives.org .",globallivesproject_Mingmar_Lama_2013_nep_Tsum_Valley_NP-GA-163000-165959,4876561678,2013-10-30T20:14:31Z,"Gorkha,Tsum Valley,Nepali,Tibetan,Tsum,hike,yartsa gumbu,business deal,khampa,negotiate,tea,clean yartsa,globallivesproject,Global Lives Project,glp,globallives","Mingmar Lama - Tsum Valley, Nepal - Nepali (Global Lives Project, 2013) 16:30:00 - 16:59:59",mingmarlama,http://creativecommons.org/licenses/by/3.0/,globallivesproject_Mingmar_Lama_2013_nep_Tsum_Valley_NP-GA-163000-165959.mp4,16,30,0,16,59,59,59400,61199
2013-01-01T00:00:00Z,"This is the life story interview of Ivan Montaño, a horse-cart driver and tailor from Cali, Colombia. At the time of the shoot, Ivan was 56 years old. This video was produced by Claudia Quigua, Diego Eraso, Carlos A. Sanchez, Nelson Gomez, Carlos H Tofiño, Daniel F. Gomez, and Harvey Paz. This video is part of the Global Lives Project, a video library of life experience. For more information please visit globallives.org",globallivesproject_Ivan_Montano_2013_spa_Cali_CO-VAC-000000-004751_life_story_interview,20189063993,2013-09-26T18:28:33Z,"Cali,Colombia,life story,horse cart driver,lives in transit,globallivesproject,Global Lives Project,glp,globallives","Ivan Montano - Cali, Colombia - Spanish (Global Lives Project, 2013) - Life Story",ivanmontano,http://creativecommons.org/licenses/by/3.0/,globallivesproject_Ivan_Montano_2013_spa_Cali_CO-VAC-000000-004751_life_story_interview.mp4,0,0,0,0,47,51,0,2871
